;Magic name        Classes Slot Level
;Classes set as string, where first pos equal CLERIC,
;second - MAGE, third - THIEF, etc
;Chars 1,x,! turn this class on, every other - turn off
;                CMTWAGDHNPR
group armor      ......!....  8 24 
group bless      !..........  6 22
group bless      .........!.  4 22
group haste      ......!....  6 16
group haste      .........!.  4 22
group heal       !..........  7 26
group invisible  ......!....  9 27
group fly        ......!....  8 24
group strength   ......!....  8 24
group recall     !..........  7 28

mass blind       ......!....  8 24
mass hold        ......!....  9 27
mass curse       ......!....  8 24
mass curse       .........!.  4 22
mass slow        ......!....  8 24
mass slow        ..........!  3 20
mass sielence    ......!....  8 24

earthquake *     .!.........  5 15
earthquake *     ........!..  6 18
fireblast *      .!.........  7 21
armageddon *     .!.........  9 27

extra hits       ........!..  8 24
refresh *        ......!....  5 15
refresh *        ..........!  2 13
light cure       !..........  1 1
serious cure     !..........  4 10
critical cure    !..........  5 16
critical cure    .........!.  3 15
heal *           !..........  6 20
full *           !..........  3 8
full *           ..........!  1 7

armor *          .!....!!!..  1 1
stoneskin *      ......!....  2 4
cloudly *        ......!....  3 6
weakness *       ......!....  3 6
noflee *         .......!...  5 15
enlarge *        !.....!....  2 4
blink *          ......!....  3 6
bless *          !..........  2 4
bless *          .........!.  1 4
haste *          ......!....  2 4
haste *          .........!.  2 10
slow *           ......!....  2 4
slow *           ..........!  1 7
web *            ......!....  4 12
blind *          .!....!!!..  3 8
blind *          !..........  2 4
power blind      ......!....  6 18
power blind      .........!.  4 25
chill touch      .!....!!!..  2 4
sun shine        !..........  5 16
sun shine        ......!....  4 12
darkness *       !..........  5 16
darkness *       ......!....  4 12
curse *          !!....!!!..  2 4
curse *          .........!.  1 4
detect alignment !..........  1 1
detect alignment .........!.  1 4
detect invisible .!.....!!..  5 15
detect invisible ......!....  3 8
detect magic     .!.....!!..  5 15
detect magic     !.....!....  3 8
energy drain     .!.........  2 4
infravision *    .!....!!!..  4 12
infravision *    ..........!  2 13
infravision *    !..........  5 16
invisible *      !..........  5 15
invisible *      ......!!!..  3 8
sense life       !!....!!!..  4 12
sense life       ..........!  3 20
poison *         .!.........  3 8
fly *            !.....!!!..  3 8
protect evil     !.....!....  3 8
protect evil     .........!.  2 10
sanctuary *      !..........  4 12
sanctuary *      .........!.  4 25
sleep *          !......!...  3 8
strength *       .!....!!!..  1 1
waterwalk *      !..........  3 8
hold *           .!.........  5 15   
hold *           ......!....  2 4
hold *           .......!!..  3 8
power hold       ......!....  5 15
power hold       .......!!..  8 24
sielence *       .!.........  5 15
sielence *       .........!.  3 15
sielence *       !......!!..  3 8 
sielence *       ......!....  2 4
power sielence   ......!....  5 15
power sielence   .......!!..  7 21
forbidden *      ......!....  7 21
forbidden *      ..........!  3 19
waterbreath *    !..........  5 15
waterbreath *    ..........!  2 13

burning hands    .!....!!!..  1 1
acid *           .!.........  3 8
fear *           !......!...  3 8
fear *           ..........!  3 25
sacrifice *      ........!..  6 18
cold wind        .!.........  5 15
implosion *      .!.........  8 24
call lightning   .!....!!!..  2 4
color spray      .!.........  5 15
light damage     !..........  1 1
serious damage   !..........  3 8
critic damage    !..........  4 12
dispel evil      !..........  5 16
dispel evil      .........!.  4 22
dispel good      !..........  5 16
fireball *       .!.........  6 18
harm *           !..........  6 20
lightning bolt   .!.........  2 4
magic missle     .!....!!!..  1 1
shockin grasp    .!.........  2 4

cure blind       !..........  5 16    
cure blind       ......!....  6 16
cure blind       ..........!  2 13
remove curse     !..........  4 12
remove poison    !..........  4 12
remove poison    .........!.  3 15
remove poison    ..........!  2 13
remove poison    ......!....  6 16
remove hold      !..........  5 16
remove hold      ......!....  6 16
remove sielence  !..........  5 16
remove sielence  ......!....  6 16

animate dead     ........!..  5 15
ressurection *   ........!..  8 24
clone *          .......!...  10 34

repair *         .......!!..  6 16

chain lightning  .!.........  8 24
mind control    .......!...  5 15
weather control  !..........  5 16
weather control  ..........!  3 20
weather control  ......!....  5 15
create water     !..........  1 1
detect poison    !..........  3 8
detect poison    ..........!  1 7
detect poison    ......!....  5 15
enchant weapon   ......!....  7 21
enchant weapon   ........!..  8 24
locate object    ......!....  7 21
locate object    ........!..  8 24
summon *         ......!....  8 24
teleport *       ......!....  8 24
recall *         !..........  6 20
recall *         ......!....  8 24

create food      !..........  1 1
create light     !!....!!!..  1 1
create light     ..........!  1 7
